Project Name,Phase,Planned Duration,Actual Duration,Project Budget,Estimate of Actual Costs-End of Phase,Total Phase Actual Spending
8X036P.S. 36 - BRONXSCA CIPEXT MASONRY/ROOFS/PARAPETS/WINDOWS/EXT DOORS/FLOOD,"CM, F&E",789,789,1078813,1789017,1778044
8X036P.S. 36 - BRONXSCA CIPFULL PROGRAM ACCESSIBILITY,Scope,138,123,103500,130410,94610
8X036P.S. 36 - BRONXSCA CIPFULL PROGRAM ACCESSIBILITY,Design,173,448,414000,394485,335414
8X039LONGWOOD PREPARATORY ACADEMYSCA CIPFLOOD ELIMINATION,Scope,141,89,10110,922,922
8X039HOLCOMBE L. RUCKER SCHOOLOF COSCA CIP RESOAFY16 RESO A AUDITORIUM UPGRADE,Scope,124,92,0,29835,29835
8X039HOLCOMBE L. RUCKER SCHOOLOF COSCA CIP RESOAFY16 RESO A AUDITORIUM UPGRADE,Design,175,174,30000,119399,119399
8X048P.S. 48 - BRONXSCA CIPFULL PROGRAM ACCESSIBILITY,Scope,136,142,136500,110518,108744
8X048P.S. 48 - BRONXSCA CIPFULL PROGRAM ACCESSIBILITY,Design,171,255,546000,413243,390300
8X048P.S. 48 - BRONXSCA CIPROOFS,Scope,0,0,26310,0,0
8X048P.S. 48 - BRONXSCA CIPROOFS,Design,153,63,96471,0,0
8X048P.S. 48 - BRONXSCA CIP RESOAFY15 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,126,33,0,1174,1174
8X062P.S. 62 - BRONXSCA CIPEXT MASONRY/PARAPETS,Scope,143,81,122130,75957,75957
8X062P.S. 62 - BRONXSCA CIPEXT MASONRY/PARAPETS,Design,152,118,488520,42050,42050
8X069P.S. 69 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,238,49,50000,49104,49104
8X069P.S. 69 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,238,49,150000,148875,148875
8X071P.S. 71 - BRONXSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Scope,125,51,0,8472,8472
8X071P.S. 71 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,96,50000,49625,49625
8X071P.S. 71 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,96,100000,99178,99178
8X072P.S. 72 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,100,50000,49625,49625
13K805SCIENCE SKILLS CENTER HS - KSCA CIP RESOAFY16 RESO A LIBRARY UPGRADE,Scope,121,55,0,14085,14085
13K805SCIENCE SKILLS CENTER HS - KSCA CIP RESOAFY16 RESO A LIBRARY UPGRADE,Design,141,203,53400,56404,51006
13K831DIV. COMPUTER INFO-DATA CNTRSCA CIPDATA CENTER,Scope,119,134,611811,360431,360431
13K874I.S. 340 - BROOKLYNSCA CIPEXTERIOR MASONRY/FLOOD ELIMINATION,Scope,141,254,35892,99843,93271
13K874I.S. 340 - BROOKLYNSCA CIPEXTERIOR MASONRY/FLOOD ELIMINATION,Design,152,266,137122,133938,122107
13K902K077 SPED - BROOKLYNSCA CIPMASONRY/PIPING/DOOR/FLOOD/WIN/PARAPETS/ROOF/HVAC,Scope,144,140,538515,855781,849229
13K902K077 SPED - BROOKLYNSCA CIPMASONRY/PIPING/DOOR/FLOOD/WIN/PARAPETS/ROOF/HVAC,Design,156,569,2132964,2688073,2136348
13K902K077 SPED - BROOKLYNSCA CIPMASONRY/PIPING/DOOR/FLOOD/WIN/PARAPETS/ROOF/HVAC,Construction,659,782,38100356,42251524,36412074
13K902K077 SPED - BROOKLYNSCA CIPMASONRY/PIPING/DOOR/FLOOD/WIN/PARAPETS/ROOF/HVAC,"CM, F&E",659,782,2999156,3405536,3179136
14K017P.S. 17 - BROOKLYNSCA CIPBUILDING FAN REPLACEMENT/ELEC UPGRADE,Scope,123,141,108743,56595,56595
14K017P.S. 17 - BROOKLYNSCA CIPBUILDING FAN REPLACEMENT/ELEC UPGRADE,Design,152,322,427346,317378,308159
14K017P.S. 17 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,127,50000,49625,49625
14K031P.S. 31 - BROOKLYNSCA CIPEXTERIOR MASONRY/PARAPETS,Scope,135,288,67498,99096,79476
14K031P.S. 31 - BROOKLYNSCA CIPEXTERIOR MASONRY/PARAPETS,Design,150,350,263789,226003,194999
14K031P.S. 31 - BROOKLYNSCA CIPEXTERIOR MASONRY/PARAPETS,Construction,449,325,4388969,4162061,3672755
14K031P.S. 31 - BROOKLYNSCA CIPEXTERIOR MASONRY/PARAPETS,"CM, F&E",449,325,395682,765939,756014
14K033I.S. 330 - BROOKLYNSCA CIPKITCHEN UPGRADE/FLOOD ELIMINATION/ANSUL SYSTEM,Scope,125,146,23533,18210,18210
14K033I.S. 330 - BROOKLYNSCA CIPKITCHEN UPGRADE/FLOOD ELIMINATION/ANSUL SYSTEM,Design,153,379,92432,146128,125685
14K033I.S. 330 - BROOKLYNSCA CIPKITCHEN UPGRADE/FLOOD ELIMINATION/ANSUL SYSTEM,Construction,364,749,1580668,2125840,2072010
14K033I.S. 330 - BROOKLYNSCA CIPKITCHEN UPGRADE/FLOOD ELIMINATION/ANSUL SYSTEM,"CM, F&E",364,749,131898,410290,409756
14K033I.S. 33 - BROOKLYNDCAS/NYPAHIGH EFFICIENCY LIGHTING SYSTEM,Construction,731,731,78705,78705,78705
14K034P.S. 34 - BROOKLYNSCA CIPPLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,156,71,78063,74593,74240
14K034P.S. 34 - BROOKLYNSCA CIPPLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,153,170,304688,238147,236684
14K049I.S. 49SCA CIPPARAPETS/FLOOD ELIMINATION/ROOFS/MASONRY/GYM UPG,Scope,324,294,177060,259395,259395
14K049I.S. 49SCA CIPPARAPETS/FLOOD ELIMINATION/ROOFS/MASONRY/GYM UPG,Design,138,104,619710,712488,654738
14K049I.S. 49SCA CIPPARAPETS/FLOOD ELIMINATION/ROOFS/MASONRY/GYM UPG,Construction,539,1236,10048156,11103623,9919027
14K049I.S. 49SCA CIPPARAPETS/FLOOD ELIMINATION/ROOFS/MASONRY/GYM UPG,"CM, F&E",539,1236,708240,1904756,1867302
14K050J.H.S. 50 - BROOKLYNSCA CIP RESOAFY17 RESO A ROOM CONVERSIONS/PARTITIONING,Scope,60,110,0,14216,14216
14K050J.H.S. 50 - BROOKLYNSCA CIP RESOAFY17 RESO A ROOM CONVERSIONS/PARTITIONING,Design,154,165,18000,46376,26074
14K059P.S. 59 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,71,100000,99250,99250
14K059P.S. 59 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,71,70000,69474,69474
14K071BEGINNING WITH CHILDREN CHARTEDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,249,88,100000,99236,99236
8X072P.S. 72 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,100,100000,99250,99250
8X074I.S. 424 - BRONXSCA CIPDEFECTIVE RETAINING WALL,Scope,90,92,11970,53203,53203
8X074I.S. 424 - BRONXSCA CIPDEFECTIVE RETAINING WALL,Design,138,134,43890,53369,53369
8X074I.S. 424 - BRONXSCA CIPDEFECTIVE RETAINING WALL,Construction,239,327,464835,437760,307355
8X074I.S. 424 - BRONXSCA CIPDEFECTIVE RETAINING WALL,"CM, F&E",239,327,107730,73972,57673
8X075P.S. 75 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,30,50000,49375,49375
8X075P.S. 75 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,30,60000,59550,59550
8X100P.S. 100 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,114,90000,89304,89304
8X101P.S. 304 - BRONXSCA CIPPLANYC BOILER/PLANYC CLIMATE CONTROL,Scope,154,53,119572,89092,81662
8X101P.S. 304 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,101,100000,99249,99249
8X123I.S. 123 - BRONXSCA CIPRENEWAL SCHOOL BASED HEALTH CENTER,Scope,90,62,29250,30276,30276
8X123I.S. 123 - BRONXSCA CIPRENEWAL SCHOOL BASED HEALTH CENTER,Design,121,75,117000,123720,123599
8X125I.S. 125 - BRONXSCA CIPFLOOD ELIMINATION- WATER INFILTRATION,Scope,135,218,24403,39787,39783
8X125I.S. 125 - BRONXSCA CIPFLOOD ELIMINATION- WATER INFILTRATION,Design,153,665,97613,67371,58698
8X125I.S. 125 - BRONXSCA CIP RESOAFY17 RESO A SUPPLEMENTAL COOLING,Scope,61,56,0,872,872
8X125I.S. 125 - BRONXSCA CIP RESOAFY17 RESO A SUPPLEMENTAL COOLING,Design,97,73,42899,3489,3489
8X152P.S. 152 - BRONXSCA CIPWINDOWS,Scope,136,156,56655,71415,65195
8X152P.S. 152 - BRONXSCA CIPWINDOWS,Design,153,59,226620,181441,181435
8X174BRONX MATH PREP - BRONXSCA CIPPAVED AREAS-CONCRETE,Scope,91,98,14100,63727,63016
8X174BRONX MATH PREP - BRONXSCA CIPPAVED AREAS-CONCRETE,Design,138,134,51700,61385,54451
8X174BRONX MATH PREP - BRONXSCA CIPPAVED AREAS-CONCRETE,Construction,179,340,547550,726568,500550
8X174BRONX MATH PREP - BRONXSCA CIPPAVED AREAS-CONCRETE,"CM, F&E",179,340,126900,111039,102930
8X192I.S. 371 - BRONXSCA CIP RESOARESO A AIR SUPPLEMENTAL COOLING,Scope,62,23,0,1164,1164
8X192I.S. 371 - BRONXSCA CIP RESOARESO A AIR SUPPLEMENTAL COOLING,Design,97,110,2100,4655,4655
8X192BRONX DELTA SCHOOLTrust For Public LanFY16 RESO A PLAYGROUND REDEVELOPMENT,Scope,50,50,50000,50000,50000
8X192BRONX DELTA SCHOOLTrust For Public LanFY16 RESO A PLAYGROUND REDEVELOPMENT,Design,154,154,150000,150000,150000
8X192BRONX DELTA SCHOOLTrust For Public LanFY16 RESO A PLAYGROUND REDEVELOPMENT,Construction,351,273,1875000,1875000,1800000
8X192BRONX DELTA SCHOOLTrust For Public LanFY16 RESO A PLAYGROUND REDEVELOPMENT,F&E,183,183,134000,134000,134000
8X317P.S. 317 - BRONXSCA CapacityNEW SCHOOL,Scope,197,200,987879,832473,831794
8X317P.S. 317 - BRONXSCA CapacityNEW SCHOOL,Design,164,183,3704545,3642404,3183730
8X317P.S. 317 - BRONXSCA CapacityNEW SCHOOL,Construction,899,1005,55568179,53022522,51243923
8X317P.S. 317 - BRONXSCA CapacityNEW SCHOOL,"CM,Art,F&E",899,1005,7262121,6909176,6121006
8X405LEHMAN HSSCA CIPCTF SCHOOL BASED HEALTH CENTER,Scope,18,18,15345,18978,18766
8X405LEHMAN HSSCA CIPCTF SCHOOL BASED HEALTH CENTER,Design,62,62,56266,89999,89610
8X405HERBERT H. LEHMAN HS - XSCA CIPSANDY ELEC/HEAT/FLOOD/CLIM/SINK HOLES/PLUMBING,Scope,153,74,455868,272457,272417
8X405HERBERT H. LEHMAN HS - XSCA CIPSANDY ELEC/HEAT/FLOOD/CLIM/SINK HOLES/PLUMBING,Design,153,210,1816788,1326362,1260700
8X405HERBERT H. LEHMAN HS - XSCA CIPSTRUCTURAL DEFECTS,Scope,137,154,9760,15221,2453
8X405HERBERT H. LEHMAN HS - XSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,126,32,13810,3941,3941
8X405HERBERT H. LEHMAN HS - XSCA CIP RESOAFY17 RESO A LIBRARY UPGRADE,Scope,125,28,0,13346,13346
8X450GATEWAY SCH FOR RES & TECH - XSCA CIPCTF-ROOM CONVERISON,Scope,124,149,21449,30581,28049
14K110P.S. 110 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,83,100000,99244,99244
14K126J.H.S. 126 - BROOKLYNSCA CIP RESOAFY17 RESO A SUPPLEMENTAL COOLING,Scope,61,50,0,856,856
14K147P.S. 147 - BROOKLYNSCA CIP RESOAFY12 RESO A AUDITORIUM PARTITION,Scope,122,133,0,25433,25433
14K147P.S. 147 - BROOKLYNSCA CIP RESOAFY16 RESO A SUPPLEMENTAL COOLING,Scope,61,26,0,12949,2143
14K147P.S. 147 - BROOKLYNSCA CIP RESOAFY16 RESO A SUPPLEMENTAL COOLING,Design,98,83,34500,40146,8570
14K147P.S. 147 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,243,120,100000,99248,99248
14K196P.S. 196 - BROOKLYNSCA CIP RESOAFY16 RESO A ROOM CONVERSION,Scope,121,74,0,9024,9024
14K196P.S. 196 - BROOKLYNSCA CIP RESOAFY16 RESO A ROOM CONVERSION,Design,137,97,15025,30642,30642
14K196P.S. 196 - BROOKLYNSCA CIP RESOAFY16 RESO A ROOM CONVERSION,Construction,209,209,220370,167064,123027
14K196P.S. 196 - BROOKLYNSCA CIP RESOAFY16 RESO A ROOM CONVERSION,"CM, F&E",209,209,53874,59986,58019
14K257P.S. 257 - BROOKLYNSCA CIP RESOAFY15 RESO A SUPPLEMENTAL COOLING,Scope,61,36,0,15912,2671
14K257P.S. 257 - BROOKLYNSCA CIP RESOAFY15 RESO A SUPPLEMENTAL COOLING,Design,122,102,24000,50857,11534
14K297P.S. 297 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,245,74,200000,198500,198500
"14K450HS OF ENTERPRISE, BUS. & TECH.SCA CIP RESOAFY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION",Scope,120,10,0,646,646
"14K450HS OF ENTERPRISE, BUS. & TECH.SCA CIP RESOAFY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION",Design,178,46,15000,2586,2586
14K650WIILIAMSBURG PREP- BROOKLYNSCA CIPROOFS/WINDOWS/PARAPETS/EXT MASONRY,Scope,137,162,178559,161320,154975
14K650WIILIAMSBURG PREP- BROOKLYNSCA CIPROOFS/WINDOWS/PARAPETS/EXT MASONRY,Design,154,188,708563,480153,453075
14K650WIILIAMSBURG PREP- BROOKLYNSCA CIPROOFS/WINDOWS/PARAPETS/EXT MASONRY,Construction,729,664,12776799,11975308,11651907
14K650WIILIAMSBURG PREP- BROOKLYNSCA CIPROOFS/WINDOWS/PARAPETS/EXT MASONRY,"CM, F&E",729,664,906961,696862,690905
14K650WILLIAMSBURG HS FOR ARCH & DESDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,280,116,35000,34732,34732
14K673P.S. 18 - BROOKLYNSCA CIPSTANDALONE GYM ANNEX,Scope,91,21,96673,244570,54295
14K673P.S. 18 - BROOKLYNSCA CIPSTANDALONE GYM ANNEX,Design,154,102,386691,303332,35316
14K778EL PUENTE ACADEMY - BROOKLYNSCA CIPMASONRY/WINDOWS/PARAPETS/ROOFS,Scope,140,157,83126,77996,41611
14K778EL PUENTE ACADEMY - BROOKLYNSCA CIPMASONRY/WINDOWS/PARAPETS/ROOFS,Design,151,163,319214,229218,174853
8X450GATEWAY SCH FOR RES & TECH - XSCA CIPCTF-ROOM CONVERISON,Design,152,721,85794,55810,54215
8X450BRONX COMMUNITY HIGH SCHOOLSCA CIPIP SURVEILLANCE CAMERAS,Scope,121,197,9656,6736,6736
8X450BRONX COMMUNITY HIGH SCHOOLSCA CIPIP SURVEILLANCE CAMERAS,Design,181,110,35406,27038,27038
8X450MILLENIUM ART ACADEMY - BRONXSCA CIPTCU REMOVAL/PLAYGROUND REDEVELOPMENT,Scope,184,70,23988,42555,16050
8X650SCHOOL FOR TOURISM AND HSPTLTYSCA CIPELECTRICAL SYSTEMS,Scope,122,65,5812,7002,7002
8X650SCHOOL FOR TOURISM AND HSPTLTYSCA CIPELECTRICAL SYSTEMS,Design,156,118,21311,28070,28070
8X650SCHL FOR TURSM AND HOSPITALITYSCA CIP RESOAFY16 RESO A ROOM CONVERSIONS / LEARNING KITCHEN,Scope,120,160,0,42754,37401
9X002BRONX CNTR FOR SCIENCE & MATHSCA CIPPLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL,Scope,159,49,86205,70939,66813
9X002BRONX CNTR FOR SCIENCE & MATHSCA CIPPLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL,Design,155,205,344820,219565,219565
9X002BRONX CNTR FOR SCIENCE & MATHSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Scope,122,98,0,12544,1616
9X011P.S. 11 - BRONXSCA CIPDEFECTIVE RETAINING WALL & PAVEMENTS,Scope,155,126,37500,57068,54846
9X011P.S. 11 - BRONXSCA CIPDEFECTIVE RETAINING WALL & PAVEMENTS,Design,183,77,150000,134783,134711
9X022I.S. 22 - BRONXSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,124,28,7089,2796,2796
9X055P.S. 55 - BRONXSCA CIPMASONRY/WINDOWS/ROOFS/PARAPETS,Scope,185,158,237322,131191,130843
9X055P.S. 55 - BRONXSCA CIPMASONRY/WINDOWS/ROOFS/PARAPETS,Design,234,204,949289,414752,410195
9X063P.S. 63 - BRONXSCA CIPLOW VOLTAGE ELECTRICAL SYSTEM,Scope,91,44,17438,9894,9894
9X063P.S. 63 - BRONXSCA CIPLOW VOLTAGE ELECTRICAL SYSTEM,Design,154,86,69753,41092,40087
9X063MOTT HALL CHARTER SCHOOLDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,114,100000,99250,99250
9X063MOTT HALL CHARTER SCHOOLDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,105,75000,74438,74438
9X070P.S. 70 - BRONXSCA CIPEXT MASONRY/ROOFS/PARAPETS,Scope,138,132,111904,164803,109231
9X070P.S. 70 - BRONXSCA CIPEXT MASONRY/ROOFS/PARAPETS,Design,153,161,437328,374117,261539
9X070P.S. 70 - BRONXSCA CIP RESOAFY14 RESO A LIBRARY UPGRADE,Scope,123,97,0,15881,13350
9X070P.S. 70 - BRONXSCA CIP RESOAFY14 RESO A LIBRARY UPGRADE,Design,139,167,48000,35237,34666
1M015P.S. 15 - MANHATTANSCA CIP RESOAFY17 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,124,27,0,1305,1305
1M019P.S. 19 - MANHATTANTrust For Public LanFY18 RESO A PLAYGROUNDS,Scope,184,153,82500,82500,0
1M019P.S. 19 - MANHATTANTrust For Public LanFY18 RESO A PLAYGROUNDS,Design,320,304,247500,247500,0
1M025MARTE VALLE HS - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,110,100000,99003,99003
1M056J.H.S. 292 - MANHATTANSCA CIPROOFS,Scope,136,114,60837,14706,14706
1M060EAST SIDE COMMUNITY SCHOOLDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,252,86,100000,99245,99245
1M061P.S. 361 - MANHATTANTrust For Public LanFY17 RESO A PLAYGROUND REDEVELOPMENT,Scope,183,153,22300,22300,22300
1M061P.S. 361 - MANHATTANTrust For Public LanFY17 RESO A PLAYGROUND REDEVELOPMENT,Design,57,57,89200,89200,89200
1M063P.S. 63 - MANHATTANSCA CIP RESOAFY09 RESO A- KITCHEN AREAS,Scope,152,195,0,29317,29317
1M063P.S. 63 - MANHATTANSCA CIP RESOAFY09 RESO A- KITCHEN AREAS,Design,176,274,59156,124253,122862
1M097BARD COLLEGE HS - MANHATTANSCA CIPNON-SANDY:MASONRY/ROOF/PARAPET/SANDY FLOOD/MSNRY,Scope,140,268,127500,198340,192359
1M097BARD COLLEGE HS - MANHATTANSCA CIPNON-SANDY:MASONRY/ROOF/PARAPET/SANDY FLOOD/MSNRY,Design,154,140,494130,456673,433198
1M140P.S. 140 - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,108,100000,99245,99245
1M142P.S. 142 - MANHATTANSCA CIPPLAY YARD SINKHOLE,Scope,187,33,40320,15849,15849
1M142P.S. 142 - MANHATTANSCA CIPPLAY YARD SINKHOLE,Design,272,138,161280,67319,67203
1M510CASCADES CTR FOR TCHING & LNGSCA CIPENY AUDITIORIUM UPGRADE,Scope,120,42,4372,6985,6985
1M510CASCADES CTR FOR TCHING & LNGSCA CIPENY AUDITIORIUM UPGRADE,Design,152,68,16032,28734,25439
2M003P.S. 3 - MANHATTANSCA CIP RESOAFY17 RESO A SUPPLEMENTAL COOLING,Scope,61,75,0,1462,1462
2M006P.S. 6 - MANHATTANSCA CIP RESOAFY14 RESO A PLAYGROUND REDEVELOPMENT,Scope,90,82,0,18542,18542
2M006P.S. 6 - MANHATTANSCA CIP RESOAFY14 RESO A PLAYGROUND REDEVELOPMENT,Design,144,194,60528,91633,69080
9X082I.S. 232 - BRONXSCA CIPFENCING/PAVED AREAS - CONCRETE,Scope,77,90,21244,23388,23388
9X082I.S. 232 - BRONXSCA CIPFENCING/PAVED AREAS - CONCRETE,Design,118,164,77892,48454,48454
9X082I.S. 232 - BRONXSCA CIPOIL VAULT & STAIRWAY/PIPING/TOILETS/FLOOD,Scope,124,205,143160,117958,117958
9X082I.S. 232 - BRONXSCA CIPOIL VAULT & STAIRWAY/PIPING/TOILETS/FLOOD,Design,168,291,565386,511665,408165
9X090THE FAMILY SCHOOL - BRONXSCA CIPEXTERIOR MASONRY/ROOFS,Scope,137,110,74256,36365,35961
9X090THE FAMILY SCHOOL - BRONXSCA CIPEXTERIOR MASONRY/ROOFS,Design,156,120,291430,124583,120996
9X090SHERIDAN ACADEMY FOR YOUNG LEADIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,108,50000,49625,49625
9X090SHERIDAN ACADEMY FOR YOUNG LEADIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,108,75000,74436,74436
9X104P.S. 199 - BRONXSCA CIP5TH SBHC,Scope,94,92,33710,32743,1196
9X104P.S. 199 - BRONXSCA CIP5TH SBHC,Design,99,68,134838,116899,11008
9X104P.S. 199 - BRONXSCA CIP RESOAFY16 RESO A SCIENCE LAB UPGRADES,Scope,106,46,0,18996,18996
9X109P.S. 109 - BRONXSCA CIPWATER PENETRATION/ROOF/ PARAPET/MASONRY,Scope,137,186,78296,144674,123319
9X109P.S. 109 - BRONXSCA CIPWATER PENETRATION/ROOF/ PARAPET/MASONRY,Design,159,267,300671,278144,203647
9X117YOUNG WOMEN'S LEADERSHIP SCHLSCA CIPSCIENCE LAB UPGRADES/SCIENCE LAB UPGRADES,Scope,135,154,40748,41369,41369
9X117YOUNG WOMEN'S LEADERSHIP SCHLSCA CIPSCIENCE LAB UPGRADES/SCIENCE LAB UPGRADES,Design,188,183,156567,167313,164001
9X145I.S. 145 - BRONXSCA CIPREPAIR SINK HOLE,Scope,91,119,19614,62448,61036
9X145I.S. 145 - BRONXSCA CIPREPAIR SINK HOLE,Design,138,125,71920,78523,69872
9X145I.S. 145 - BRONXSCA CIPREPAIR SINK HOLE,Construction,269,350,761694,736949,696266
9X145I.S. 145 - BRONXSCA CIPREPAIR SINK HOLE,"CM, F&E",269,350,176530,194397,193723
9X147I.S. 339 - BRONXSCA CIPRENEWAL SCHOOL BASED HEALTH CENTER,Scope,91,33,28800,38946,38946
9X147I.S. 339 - BRONXSCA CIPRENEWAL SCHOOL BASED HEALTH CENTER,Design,122,163,115200,178725,171466
9X147I.S. 339 - BRONXSCA CIPEMERGENCY GENERATOR,Scope,122,66,28140,35853,30177
9X147I.S. 339 - BRONXSCA CIPEMERGENCY GENERATOR,Design,154,217,103180,68605,59908
9X147DRUG PROGRAM - MANHATTANSCA CIP RESOAFY14 RESO A SUPPLEMENTAL COOLING,Scope,61,56,0,894,894
9X147DRUG PROGRAM - MANHATTANSCA CIP RESOAFY14 RESO A SUPPLEMENTAL COOLING,Design,97,75,21000,3578,3578
9X147I.S. 339 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,81,75000,74391,74391
9X148I.S. 219 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,57,53000,52576,52576
9X148I.S. 219 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,57,75000,74438,74438
9X170P.S. 170 - BRONXSCA CIPMASONRY ISSUE/PARAPETS/ROOFS,Scope,184,99,62401,20456,20456
9X173P.S. 236 - BRONXSCA CIPFALLING COPING STONES/EXT MASONRY,Scope,213,64,40000,33750,33442
9X173P.S. 236 - BRONXSCA CIPFALLING COPING STONES/EXT MASONRY,Design,155,118,159224,114572,114572
9X229I.S. 229 - BRONXSCA CIP5TH SBHC,Scope,125,105,34172,34231,34231
9X229I.S. 229 - BRONXSCA CIP5TH SBHC,Design,72,77,136688,99468,94407
9X229I.S. 229 - BRONXSCA CIPSEWAGE LEAK/FIRE SYS SPRINKLER/CRACKED CONCRETE/FA,Scope,194,229,219855,132003,130392
9X229I.S. 229 - BRONXSCA CIPSEWAGE LEAK/FIRE SYS SPRINKLER/CRACKED CONCRETE/FA,Design,118,203,875145,624822,609069
2M017P.P.A.S. - MANHATTANSCA CIPMASONRY/AUD UPG/WIN/FLOOD/PARAPETS/ROOFS/FA,Scope,424,389,133316,192912,190271
2M017P.P.A.S. - MANHATTANSCA CIPMASONRY/AUD UPG/WIN/FLOOD/PARAPETS/ROOFS/FA,Design,78,78,517538,547110,533227
2M033P.S. 33 - MANHATTANTrust For Public LanFY17 RESO A PLAYGROUND REDEVELOPMENT,Scope,151,135,5000,5000,0
2M033P.S. 33 - MANHATTANTrust For Public LanFY18 RESO A PLAYGROUNDS,Scope,151,135,65000,65000,0
2M033P.S. 33 - MANHATTANTrust For Public LanFY18 RESO A PLAYGROUNDS,Design,56,39,195000,195000,0
2M040P.S. 40 - MANHATTANSCA CIP RESOAFY16 RESO A ROOFTOP PLAYGROUND,Scope,137,68,0,10151,10151
2M040P.S. 40 - MANHATTANSCA CIP RESOAFY16 RESO A ROOFTOP PLAYGROUND,Design,154,134,23466,40484,40484
2M040P.S. 40 - MANHATTANSCA CIP RESOAFY16 RESO A ROOFTOP PLAYGROUND,Construction,269,187,344168,326003,251089
2M040P.S. 40 - MANHATTANSCA CIP RESOAFY16 RESO A ROOFTOP PLAYGROUND,"CM, F&E",269,187,23466,37349,36229
2M047J.H.S. 47 (SCH FOR THE DEAF)SCA CIPPARAPETS/WINDOWS/EXTERIOR MASONRY,Scope,138,144,59835,67405,67405
2M047J.H.S. 47 (SCH FOR THE DEAF)SCA CIPPARAPETS/WINDOWS/EXTERIOR MASONRY,Design,156,385,225988,228608,199064
2M066P.S. 151 - MANHATTANSCA CIP RESOAFY16 RESO A ROOFTOP PLAYGROUND,Scope,135,394,0,58454,48730
2M070NYC LAB MIDDLE SCHOOL - MSCA CIPLOW VOLTAGE ELECTRICAL SYSTEM,Scope,91,126,25350,5325,5325
2M070NYC LAB MIDDLE SCHOOL - MSCA CIPLOW VOLTAGE ELECTRICAL SYSTEM,Design,153,152,92950,21492,21492
2M104I.S. 104 - MANHATTANSCA CIP RESOAFY17 RESO A SUPPLEMENTAL COOLING,Scope,61,148,0,1071,1071
2M114I.S. 114 - MANHATTANSCA CIP RESOAFY16 RESO A ROOFTOP GREENHOUSE,Scope,135,42,0,26139,25873
2M114P.S. 138DIIT - RESOAFY16 RESO A TECHNOLOGY,Purch & Install,22,550,35000,34738,34738
2M126P.S. 126 - MANHATTANDOE- RESOAFY16 RESO A ROOM CONVERSION,Construction,257,257,100000,93151,93151
2M130P.S. 130 - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,271,149,75000,74437,74437
2M130P.S. 130 - MANHATTANDOE- RESOAFY16 RESO A ROOFS,Construction,426,426,250000,248700,248700
